estimator,alpha,beta_0,beta_1
PPML,0.01,1.6878213753991784,0.9939620624069708
OLS,0.01,-0.19720878930356187,0.4587227165020777
PPML,0.016237767391887217,1.974960739744376,1.0948073152357622
OLS,0.016237767391887217,-0.23524893132099126,0.5023434280982421
PPML,0.026366508987303583,2.2898678063158533,1.1904224071736667
OLS,0.026366508987303583,-0.272887523065615,0.5461099214024754
PPML,0.04281332398719394,2.6295967655770522,1.2809321440167496
OLS,0.04281332398719394,-0.3103930184240181,0.5901966891824904
PPML,0.06951927961775606,2.9934178039138946,1.3635584352581325
OLS,0.06951927961775606,-0.34793323334071025,0.6346739088294894
PPML,0.11288378916846889,3.3815861364860194,1.4342458848347936
OLS,0.11288378916846889,-0.3855943125332517,0.6795392207675304
PPML,0.18329807108324356,3.7932681225321834,1.490329240251761
OLS,0.18329807108324356,-0.4234046037219357,0.724747119149313
PPML,0.29763514416313175,4.225636776934147,1.531810556592112
OLS,0.29763514416313175,-0.4613568293792992,0.7702320328159616
PPML,0.4832930238571752,4.674515180923004,1.56079080292632
OLS,0.4832930238571752,-0.49942626238261933,0.815925597325767
PPML,0.7847599703514611,5.135544076745078,1.580197995621466
OLS,0.7847599703514611,-0.5375837047698384,0.861767349959885
PPML,1.2742749857031335,5.6049928802317055,1.5928162187247417
OLS,1.2742749857031335,-0.575802701178123,0.9077095006930076
PPML,2.06913808111479,6.080037845406984,1.6008600058834133
OLS,2.06913808111479,-0.6140632787816507,0.9537178680525745
PPML,3.359818286283781,6.5587000189205344,1.6059224141412005
OLS,3.359818286283781,-0.6523507870795081,0.9997687333013032
PPML,5.455594781168514,7.039658656445432,1.6090825860756208
OLS,5.455594781168514,-0.6906555603651567,1.0458465111903203
PPML,8.858667904100823,7.5220585047834945,1.6110452033052414
OLS,8.858667904100823,-0.7289709772532068,1.091940897098576
PPML,14.38449888287663,8.005356399670665,1.6122601820533868
OLS,14.38449888287663,-0.767293171722895,1.1380459348751815
PPML,23.357214690901213,8.489211483071038,1.613010843049497
OLS,23.357214690901213,-0.8056195092554699,1.1841571862654117
PPML,37.92690190732246,8.97341128353762,1.613474036609451
OLS,37.92690190732246,-0.8439484705707613,1.2302726590434965
PPML,61.584821106602604,9.457823837364678,1.6137596581240023
OLS,61.584821106602604,-0.8822790328648467,1.2763905835917
PPML,100.0,9.942367747217439,1.6139356837512921
OLS,100.0,-0.9206106632636942,1.3225099825473747
