author,title,year,journal,coauthors,uses_log_or_poisson,keywords_found,notes,pdf_url
Nathan Nunn,"Zero-Sum Thinking and the Roots of U.S. Political Differences",2026,American Economic Review,"Sahil Chinoy, Sandra Sequeira, Stefanie Stantcheva",No,,"Linear OLS with survey index-based dep vars. No log transformations.",https://nathannunn.sites.olt.ubc.ca/files/2026/03/Chinoy_et_al_AER_2016-published-version.pdf
Nathan Nunn,"Transhumant Pastoralism Climate Change and Conflict in Africa",2025,Review of Economic Studies,Eoin McGuirk,Yes,"ln","ln(pop) as control variable. Dep vars are binary conflict indicators (not logged).",https://nathannunn.sites.olt.ubc.ca/files/2024/03/McGuirk_Nunn_RESTUD_Manuscript.pdf
Nathan Nunn,"Trust and Democracy: Political Stability in Times of Economic Crisis",forthcoming,Economic Journal,"Nancy Qian, Jaya Wen",Yes,"log","Natural log of real GDP per capita as control. Logit/multinomial logit models. Dep var (leader turnover) is binary.",https://nathannunn.sites.olt.ubc.ca/files/2026/03/trust_leader_2026.02.20.pdf
Nathan Nunn,"Stress Ethnicity and Prosocial Behavior",2023,JPE Microeconomics,"Johannes Haushofer, Sara Lowes, Abraham Musau, David Ndetei, Matthieu Poll, Nancy Qian",No,,"Lab experiment. Linear probability models with share-based dep vars. No log transformations.",https://nathannunn.sites.olt.ubc.ca/files/2023/07/Haushofer_et_al_JPE_2023.pdf
Nathan Nunn,"The Effects of Fair Trade Certification",2022,Journal of the European Economic Association,"Raluca Dragusanu, Eduardo Montero",Yes,"ln; log","ln(price) and ln(quantity) as dep vars. Log changes as independent vars.",https://nathannunn.sites.olt.ubc.ca/files/2022/08/Dragusanu_Montero_Nunn_JEEA_2022.pdf
Nathan Nunn,"Understanding Cultural Persistence and Change",2021,Review of Economic Studies,Paola Giuliano,Yes,"ln; log","ln(per-capita GDP) as control. Log differences in temperature as robustness. Dep vars not logged.",https://nathannunn.sites.olt.ubc.ca/files/2022/07/giuliano_nunn_restud_2021_Understanding-Cultural-Persistence-and-Change.pdf
Nathan Nunn,"Segmentary Lineage Organization and Conflict in Sub-Saharan Africa",2020,Econometrica,"Jacob Moscona, James A. Robinson",Yes,"ln; log","Dep vars are ln(1+conflict incidents) ln(1+conflict deaths) ln(1+months of conflict). Controls include ln(population density) ln(land area).",https://nathannunn.sites.olt.ubc.ca/files/2022/07/moscona_nathannunn_robinson_ecma_2020_Segmentary-Lineage-Organization-and-Conflict-in-Sub-Saharan-Africa.pdf
Nathan Nunn,"Bride Price and Female Education",2020,Journal of Political Economy,"Nava Ashraf, Natalie Bau, Alessandra Voena",No,,"No log transformations. Binary/continuous dep vars (enrollment completion test scores). LPM and OLS.",https://nathannunn.sites.olt.ubc.ca/files/2022/07/ashraf_bau_nathannunn_voena_jpe_2020_Bride-Price-and-Female-Education.pdf
Nathan Nunn,"Immigrants and the Making of America",2020,Review of Economic Studies,"Sandra Sequeira, Nancy Qian",Yes,"log; Poisson","Log dep vars: log income log mfg output log farm value log patents. Log instrument. Poisson estimator as robustness.",https://nathannunn.sites.olt.ubc.ca/files/2022/07/nathannunn_Immigrants-and-the-Making-of-America.pdf
Nathan Nunn,"The Evolution of Culture and Institutions: Evidence from the Kuba Kingdom",2017,Econometrica,"Sara Lowes, James A. Robinson, Jonathan Weigel",No,,"Lab experiment outcomes (rule-following cheating public goods). No log transformations.",https://nathannunn.sites.olt.ubc.ca/files/2022/07/nathan_nunn-THE-EVOLUTION-OF-CULTURE-AND-INSTITUTIONS-EVIDENCE-FROM-THE-KUBA-KINGDOM.pdf
Nathan Nunn,"U.S. Food Aid and Civil Conflict",2014,American Economic Review,Nancy Qian,Yes,"log","Log transformations used for food aid and instrument variables.",https://nathannunn.sites.olt.ubc.ca/files/2022/07/faidconf_20130806_final_0-1.pdf
Nathan Nunn,"Commercial Imperialism? Political Influence and Trade During the Cold War",2013,American Economic Review,"Daniel Berger, William Easterly, Shanker Satyanath",Yes,"ln; log; Poisson","Dep var is ln(imports/GDP). ln of aid distance etc. Poisson Maximum Likelihood as robustness.",https://nathannunn.sites.olt.ubc.ca/files/2022/07/nathannunn_commerical_imperalism.pdf
Nathan Nunn,"On the Origins of Gender Roles: Women and the Plough",2013,Quarterly Journal of Economics,"Alberto Alesina, Paola Giuliano",Yes,"log","ln(GDP per capita) as control variable. Dep vars (FLFP attitudes) not logged.",https://nathannunn.sites.olt.ubc.ca/files/2022/07/nathannunn-on-the-origins.pdf
Nathan Nunn,"Ruggedness: The Blessing of Bad Geography in Africa",2012,Review of Economics and Statistics,Diego Puga,Yes,"ln; log; logarithm","Dep var is log real GDP per person. ln(ruggedness) ln(1+slave exports/area) as key vars. Natural logarithm used throughout.",https://nathannunn.sites.olt.ubc.ca/files/2022/07/nathannunn-ruggedness.pdf
Nathan Nunn,"The Slave Trade and the Origins of Mistrust in Africa",2011,American Economic Review,Leonard Wantchekon,Yes,"log; ln","Natural log of slave exports as key independent variable. ln(1+slave exports/area) transformations.",https://nathannunn.sites.olt.ubc.ca/files/2022/07/nathannunn-the-slave-trade-and-the-oriins-of-mistrust.pdf
Nathan Nunn,"The Potato's Contribution to Population and Urbanization",2011,Quarterly Journal of Economics,Nancy Qian,Yes,"ln; log","Dep var is ln(total population). Key IV is ln(Potato Area). Controls enter log-linearly. Extensive ln() usage.",https://nathannunn.sites.olt.ubc.ca/files/2022/07/nathannunn-the-potatos-contribution.pdf
Nathan Nunn,"The Structure of Tariffs and Long-Term Growth",2010,AEJ: Macroeconomics,Daniel Trefler,Yes,"log; ln","Dep var is average annual log change in per capita GDP. Log tariffs log initial GDP log investment log human capital.",https://nathannunn.sites.olt.ubc.ca/files/2022/07/nathannunn-the-structure-of-tariffs.pdf
Nathan Nunn,"The Long Term Effects of Africa's Slave Trades",2008,Quarterly Journal of Economics,,Yes,"ln; log","Dep var is ln(real per capita GDP). Key IV is ln(exports/area). Extensive natural log usage.",https://nathannunn.sites.olt.ubc.ca/files/2022/07/nathannunn-the-long-term-effect.pdf
Nathan Nunn,"Relationship-Specificity Incomplete Contracts and the Pattern of Trade",2007,Quarterly Journal of Economics,,Yes,"ln; log","Dep var is natural log of exports. Controls include log income log credit/GDP. Human capital and capital stock in natural logs.",https://nathannunn.sites.olt.ubc.ca/files/2022/07/nathannunn-relationship-specificity.pdf
Nathan Nunn,"Historical Legacies: A Model Linking Africa's Past to its Current Underdevelopment",2007,Journal of Development Economics,,No,,"Theoretical model paper. No empirical regressions or log transformations.",https://nathannunn.sites.olt.ubc.ca/files/2022/07/nathannunn-historical-legacies.pdf
