author,title,year,journal,coauthors,uses_log_or_poisson,keywords_found,notes,pdf_url
Gabriel Zucman,"Tax Evasion and Inequality",2019,American Economic Review,"Annette Alstadsaeter, Niels Johannesen",No,,"Descriptive/accounting-based analysis of wealth distributions and tax evasion shares. No regressions with log-transformed dependent variables.",https://gabriel-zucman.eu/files/AJZ2019.pdf
Gabriel Zucman,"Capital Accumulation Private Property and Rising Inequality in China 1978-2015",2019,American Economic Review,"Thomas Piketty, Li Yang",No,,"Distributional national accounts paper. No regression analysis with log-transformed variables.",https://gabriel-zucman.eu/files/PYZ2019.pdf
Gabriel Zucman,"Wealth Taxation and Wealth Accumulation: Theory and Evidence from Denmark",2020,Quarterly Journal of Economics,"Katrine Jakobsen, Kristian Jakobsen, Henrik Kleven",Yes,"log","Main dependent variable is log wealth (log taxable wealth). Regressions of form log W_it = ... Results reported in log points.",https://gabriel-zucman.eu/files/JJKZ2020.pdf
Gabriel Zucman,"Distributional National Accounts: Methods and Estimates for the United States",2018,Quarterly Journal of Economics,"Thomas Piketty, Emmanuel Saez",No,,"Distributional accounting paper. No regressions or log-transformed variables.",https://gabriel-zucman.eu/files/PSZ2018QJE.pdf
Gabriel Zucman,"Wealth Inequality in the United States since 1913",2016,Quarterly Journal of Economics,Emmanuel Saez,No,,"Capitalization method paper. Works with ratios shares and levels. No regressions with log transformations.",https://gabriel-zucman.eu/files/SaezZucman2016QJE.pdf
Gabriel Zucman,"Capital is Back: Wealth-Income Ratios in Rich Countries 1700-2010",2014,Quarterly Journal of Economics,Thomas Piketty,No,,"Macro-historical accounting exercise. No regressions estimated.",https://gabriel-zucman.eu/files/PikettyZucman2014QJE.pdf
Gabriel Zucman,"The Missing Wealth of Nations",2013,Quarterly Journal of Economics,,No,,"Accounting-based methods exploiting international investment position anomalies. No regressions with log-transformed dependent variables.",https://gabriel-zucman.eu/files/Zucman2013QJE.pdf
Gabriel Zucman,"The Missing Profits of Nations",2023,Review of Economic Studies,"Thomas Torslov, Ludvig Wier",Yes,"log; ln(","Eq (1): log(pi_ic) with log profits as dependent variable. Eq (4): ln(K) and ln(RD) as regressors. Both log and ln() notation used.",https://gabriel-zucman.eu/files/TWZ2022Restud.pdf
Gabriel Zucman,"Externalities in International Tax Enforcement: Theory and Evidence",2023,AEJ: Economic Policy,"Thomas Torslov, Ludvig Wier",No,,"No log ln or Poisson/PPML terms found.",https://gabriel-zucman.eu/files/TWZ2023.pdf
Gabriel Zucman,"The End of Bank Secrecy?",2014,AEJ: Economic Policy,Niels Johannesen,Yes,"log","Dependent variable is log(Deposits_ijq). Also uses log of GDP as control. Log specifications in diff-in-diff estimator.",https://gabriel-zucman.eu/files/JohannesenZucman2014.pdf
Gabriel Zucman,"Tax Evasion and Tax Avoidance",2022,Journal of Public Economics,"Annette Alstadsaeter, Niels Johannesen, Segal Le Guern Herry",Yes,"logarithm; log-points","Baseline regressions use logarithmic transformation. Results reported in log-points (e.g. 0.5 log-points). Log-transformed dep vars in event study.",https://gabriel-zucman.eu/files/AJLZ2022.pdf
Gabriel Zucman,"Who Owns the Wealth in Tax Havens?",2018,Journal of Public Economics,"Annette Alstadsaeter, Niels Johannesen",No,,"No log ln or Poisson/PPML terms found.",https://gabriel-zucman.eu/files/AJZ2018.pdf
Gabriel Zucman,"The Rise of Income and Wealth Inequality in America",2020,Journal of Economic Perspectives,Emmanuel Saez,No,,"Survey/review article. No regressions with log transformations.",https://gabriel-zucman.eu/files/SaezZucman2020JEP.pdf
Gabriel Zucman,"Taxing Across Borders: Tracking Personal Wealth and Corporate Profits",2014,Journal of Economic Perspectives,,No,,"Survey/review article. No log transformations or Poisson/PPML.",https://gabriel-zucman.eu/files/Zucman2014JEP.pdf
Gabriel Zucman,"Capital Taxation Development and Globalization",forthcoming,AEJ: Applied Economics,"Pierre Bachas, Matthew Fisher-Post, Anders Jensen",Yes,"log","Extensive use of log: log(imp_ct) log(exp_ct) as dep vars; log revenue as dep var; log(1+CIT rate); log population; log NDP per capita; log capital openness.",https://gabriel-zucman.eu/files/BFJZ2024.pdf
